date,numerator,denominator
2022-01-01,107,1
2022-01-02,109,1
2022-01-03,103,1
2022-01-04,98,1
2022-01-05,99,1
2022-01-06,84,1
2022-01-07,98,1
2022-01-08,124,1
2022-01-09,114,1
2022-01-10,91,1
2022-01-11,113,1
2022-01-12,100,1
2022-01-13,103,1
2022-01-14,108,1
2022-01-15,105,1
2022-01-16,138,1
2022-01-17,117,1
2022-01-18,106,1
2022-01-19,107,1
2022-01-20,111,1
2022-01-21,97,1
2022-01-22,114,1
2022-01-23,129,1
2022-01-24,123,1
2022-01-25,109,1
2022-01-26,125,1
2022-01-27,132,1
2022-01-28,101,1
2022-01-29,108,1
2022-01-30,141,1
2022-01-31,89,1
2022-02-01,112,1
2022-02-02,127,1
2022-02-03,122,1
2022-02-04,119,1
2022-02-05,117,1
2022-02-06,121,1
2022-02-07,118,1
2022-02-08,115,1
2022-02-09,119,1
2022-02-10,122,1
2022-02-11,108,1
2022-02-12,107,1
2022-02-13,177,1
2022-02-14,101,1
2022-02-15,128,1
2022-02-16,141,1
2022-02-17,114,1
2022-02-18,143,1
2022-02-19,133,1
2022-02-20,123,1
2022-02-21,121,1
2022-02-22,114,1
2022-02-23,143,1
2022-02-24,127,1
2022-02-25,125,1
2022-02-26,130,1
2022-02-27,109,1
2022-02-28,153,1
2022-03-01,147,1
2022-03-02,136,1
2022-03-03,139,1
2022-03-04,133,1
2022-03-05,140,1
2022-03-06,153,1
2022-03-07,173,1
2022-03-08,131,1
2022-03-09,136,1
2022-03-10,125,1
2022-03-11,132,1
2022-03-12,148,1
2022-03-13,147,1
2022-03-13,135,1
2022-03-14,148,1
2022-03-15,164,1
2022-03-16,130,1
2022-03-17,139,1
2022-03-18,115,1
2022-03-19,133,1
2022-03-20,141,1
2022-03-21,147,1
2022-03-22,126,1
2022-03-23,161,1
2022-03-24,145,1
2022-03-25,135,1
2022-03-26,163,1
2022-03-27,131,1
2022-03-28,144,1
2022-03-29,149,1
2022-03-30,145,1
2022-03-31,163,1
2022-04-01,150,1
2022-04-02,198,1
2022-04-03,146,1
2022-04-04,135,1
2022-04-05,151,1
2022-04-06,163,1
2022-04-07,165,1
2022-04-08,162,1
2022-04-09,174,1
2022-04-10,155,1
2022-04-11,159,1
2022-04-12,160,1
2022-04-13,154,1
2022-04-14,170,1
2022-04-15,142,1
2022-04-16,131,1
2022-04-17,160,1
2022-04-18,160,1
2022-04-19,164,1
2022-04-20,172,1
2022-04-21,150,1
2022-04-22,159,1
2022-04-23,125,1
2022-04-24,166,1
2022-04-25,150,1
2022-04-26,152,1
2022-04-27,158,1
2022-04-28,148,1
2022-04-29,163,1
2022-04-30,179,1
2022-05-01,163,1
2022-05-02,157,1
2022-05-03,134,1
2022-05-04,182,1
2022-05-05,165,1
2022-05-06,162,1
2022-05-07,162,1
2022-05-08,169,1
2022-05-09,170,1
2022-05-10,197,1
2022-05-11,177,1
2022-05-12,166,1
2022-05-13,163,1
2022-05-14,192,1
2022-05-15,152,1
2022-05-16,177,1
2022-05-17,161,1
2022-05-18,195,1
2022-05-19,186,1
2022-05-20,168,1
2022-05-21,165,1
2022-05-22,164,1
2022-05-23,192,1
2022-05-24,199,1
2022-05-25,175,1
2022-05-26,193,1
2022-05-27,178,1
2022-05-28,155,1
2022-05-29,161,1
2022-05-30,172,1
2022-05-31,196,1
2022-06-01,178,1
2022-06-02,194,1
2022-06-03,188,1
2022-06-04,186,1
2022-06-05,207,1
2022-06-06,181,1
2022-06-07,186,1
2022-06-08,189,1
2022-06-09,185,1
2022-06-10,179,1
2022-06-11,154,1
2022-06-12,198,1
2022-06-13,191,1
2022-06-14,184,1
2022-06-15,194,1
2022-06-16,182,1
2022-06-17,181,1
2022-06-18,197,1
2022-06-19,237,1
2022-06-20,192,1
2022-06-21,183,1
2022-06-22,182,1
2022-06-23,191,1
2022-06-24,210,1
2022-06-25,177,1
2022-06-26,202,1
